experiment_no,experiment_id,prompt_type,model_name,temperature,max_tokens,notebook_path,output_path
exp_31,exp_31_rc_zero_shot_nonrag_llama_3_1_8b_instant,zero_shot,llama-3.1-8b-instant,0,700,experiments/role_categorization/without_rag/exp_31_rc_zero_shot_nonrag_llama-3-8b-instant.ipynb,outputs/experiments/role_categorization/without_rag/exp_31
exp_32,exp_32_rc_zero_shot_nonrag_llama-3.3-70b-versatile,zero_shot,llama-3.3-70b-versatile,0,700,experiments/role_categorization/without_rag/exp_32_rc_zero_shot_nonrag_llama-3.3-70b-versatile.ipynb.ipynb,outputs/experiments/role_categorization/without_rag/exp_32
exp_33,exp_33_rc_zero_shot_nonrag_openai_gpt-oss-120b,zero_shot,openai/gpt-oss-120b,0,700,experiments/role_categorization/without_rag/exp_33_rc_zero_shot_nonrag_openai_gpt-oss-120b.ipynb,outputs/experiments/role_categorization/without_rag/exp_33
exp_34,exp_34_rc_few_shot_nonrag_llama_3_1_8b_instant,few_shot,llama-3.1-8b-instant,0,700,experiments/role_categorization/without_rag/exp_34_rc_few_shot_nonrag_llama-3-8b-instant.ipynb,outputs/experiments/role_categorization/without_rag/exp_34
exp_35,exp_35_rc_few_shot_nonrag_llama-3.3-70b-versatile,few_shot,llama-3.3-70b-versatile,0,700,experiments/role_categorization/without_rag/exp_35_rc_few_shot_nonrag_llama-3.3-70b-versatile.ipynb,outputs/experiments/role_categorization/without_rag/exp_35
exp_36,exp_36_rc_few_shot_nonrag_openai_gpt-oss-120b,few_shot,openai/gpt-oss-120b,0,700,experiments/role_categorization/without_rag/exp_36_rc_few_shot_nonrag_openai_gpt-oss-120b.ipynb,outputs/experiments/role_categorization/without_rag/exp_36
exp_37,exp_37_rc_cot_nonrag_llama_3_1_8b_instant,chain_of_thought,llama-3.1-8b-instant,0,700,experiments/role_categorization/without_rag/exp_37_rc_cot_nonrag_llama-3-8b-instant.ipynb,outputs/experiments/role_categorization/without_rag/exp_37
exp_38,exp_38_rc_cot_nonrag_llama-3.3-70b-versatile,chain_of_thought,llama-3.3-70b-versatile,0,700,experiments/role_categorization/without_rag/exp_38_rc_cot_nonrag_llama-3.3-70b-versatile.ipynb,outputs/experiments/role_categorization/without_rag/exp_38
exp_39,exp_39_rc_cot_nonrag_openai_gpt-oss-120b,chain_of_thought,openai/gpt-oss-120b,0,700,experiments/role_categorization/without_rag/exp_39_rc_cot_nonrag_openai_gpt-oss-120b.ipynb,outputs/experiments/role_categorization/without_rag/exp_39
exp_40,exp_40_rc_style_based_nonrag_llama_3_1_8b_instant,style_based,llama-3.1-8b-instant,0,700,experiments/role_categorization/without_rag/exp_40_rc_style_based_nonrag_llama-3-8b-instant.ipynb,outputs/experiments/role_categorization/without_rag/exp_40
exp_41,exp_41_rc_style_based_nonrag_llama-3.3-70b-versatile,style_based,llama-3.3-70b-versatile,0,700,experiments/role_categorization/without_rag/exp_41_rc_style_based_nonrag_llama-3.3-70b-versatile.ipynb,outputs/experiments/role_categorization/without_rag/exp_41
exp_42,exp_42_rc_style_based_nonrag_openai_gpt-oss-120b,style_based,openai/gpt-oss-120b,0,700,experiments/role_categorization/without_rag/exp_42_rc_style_based_nonrag_openai_gpt-oss-120b.ipynb,outputs/experiments/role_categorization/without_rag/exp_42
exp_43,exp_43_rc_self_consistency_nonrag_llama_3_1_8b_instant,self_consistency,llama-3.1-8b-instant,0.3,700,experiments/role_categorization/without_rag/exp_43_rc_self_consistency_nonrag_llama-3-8b-instant.ipynb,outputs/experiments/role_categorization/without_rag/exp_43
exp_44,exp_44_rc_self_consistency_nonrag_llama-3.3-70b-versatile,self_consistency,llama-3.3-70b-versatile,0.3,700,experiments/role_categorization/without_rag/exp_44_rc_self_consistency_nonrag_llama-3.3-70b-versatile.ipynb,outputs/experiments/role_categorization/without_rag/exp_44
exp_45,exp_45_rc_self_consistency_nonrag_openai_gpt-oss-120b,self_consistency,openai/gpt-oss-120b,0.3,700,experiments/role_categorization/without_rag/exp_45_rc_self_consistency_nonrag_openai_gpt-oss-120b.ipynb,outputs/experiments/role_categorization/without_rag/exp_45
