experiment_id,task_name,prompt_type,model_name,temperature,max_tokens,rag_used,input_type,num_samples_completed,num_correct,num_incorrect,valid_label_rate,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,num_taxonomy_labels,experiment_folder,num_self_consistency_runs
exp_31_rc_zero_shot_nonrag_llama_3_1_8b_instant,role_categorization,zero_shot_without_rag,llama-3.1-8b-instant,0.0,700,False,job_description_only,100,60,40,0.98,0.6,0.5896,0.6688,0.5869,0.5672,0.6,0.557,13,exp_31,
exp_32_rc_zero_shot_nonrag_llama-3.3-70b-versatile,role_categorization,zero_shot_without_rag,llama-3.3-70b-versatile,0.0,700,False,job_description_only,100,66,34,1.0,0.66,0.6804,0.7693,0.6875,0.6739,0.66,0.6373,13,exp_32,
exp_33_rc_zero_shot_nonrag_openai_gpt-oss-120b,role_categorization,zero_shot_without_rag,openai/gpt-oss-120b,0.0,700,False,job_description_only,100,70,30,1.0,0.7,0.7418,0.772,0.7331,0.7267,0.7,0.698,13,exp_33,
exp_34_rc_few_shot_nonrag_llama_3_1_8b_instant,role_categorization,few_shot_without_rag,llama-3.1-8b-instant,0.0,700,False,job_description_only,100,60,40,0.93,0.6,0.6122,0.6801,0.6099,0.6135,0.6,0.5893,13,exp_34,
exp_35_rc_few_shot_nonrag_llama-3.3-70b-versatile,role_categorization,few_shot_without_rag,llama-3.3-70b-versatile,0.0,700,False,job_description_only,100,66,34,1.0,0.66,0.6621,0.7663,0.6824,0.6254,0.66,0.6222,13,exp_35,
exp_36_rc_few_shot_nonrag_openai_gpt-oss-120b,role_categorization,few_shot_without_rag,openai/gpt-oss-120b,0.0,700,False,job_description_only,100,70,30,1.0,0.7,0.7131,0.7873,0.7146,0.7246,0.7,0.6787,13,exp_36,
exp_37_rc_cot_nonrag_llama_3_1_8b_instant,role_categorization,chain_of_thought_without_rag,llama-3.1-8b-instant,0.0,700,False,job_description_only,100,60,40,1.0,0.6,0.5912,0.6958,0.5965,0.5831,0.6,0.5704,13,exp_37,
exp_38_rc_cot_nonrag_llama-3.3-70b-versatile,role_categorization,chain_of_thought_without_rag,llama-3.3-70b-versatile,0.0,700,False,job_description_only,100,66,34,1.0,0.66,0.6492,0.7683,0.6809,0.6096,0.66,0.6179,13,exp_38,
exp_39_rc_cot_nonrag_openai_gpt-oss-120b,role_categorization,chain_of_thought_without_rag,openai/gpt-oss-120b,0.0,700,False,job_description_only,100,70,30,1.0,0.7,0.7462,0.781,0.7083,0.7672,0.7,0.6681,13,exp_39,
exp_40_rc_style_based_nonrag_llama_3_1_8b_instant,role_categorization,style_based_without_rag,llama-3.1-8b-instant,0.0,700,False,job_description_only,100,54,46,1.0,0.54,0.5521,0.6339,0.5186,0.5492,0.54,0.507,13,exp_40,
exp_41_rc_style_based_nonrag_llama-3.3-70b-versatile,role_categorization,style_based_without_rag,llama-3.3-70b-versatile,0.0,700,False,job_description_only,100,68,32,1.0,0.68,0.683,0.7699,0.6991,0.6321,0.68,0.6376,13,exp_41,
exp_42_rc_style_based_nonrag_openai_gpt-oss-120b,role_categorization,style_based_without_rag,openai/gpt-oss-120b,0.0,700,False,job_description_only,100,70,30,1.0,0.7,0.7478,0.7855,0.7118,0.7671,0.7,0.668,13,exp_42,
exp_44_rc_self_consistency_nonrag_llama-3.3-70b-versatile,role_categorization,self_consistency_without_rag,llama-3.3-70b-versatile,0.3,700,False,job_description_only,100,66,34,1.0,0.66,0.642,0.7674,0.6746,0.6131,0.66,0.6188,13,exp_44,5.0
exp_45_rc_self_consistency_nonrag_openai_gpt-oss-120b,role_categorization,self_consistency_without_rag,openai/gpt-oss-120b,0.3,700,False,job_description_only,100,72,28,1.0,0.72,0.755,0.7954,0.728,0.7788,0.72,0.6958,13,exp_45,5.0
exp_43_rc_self_consistency_nonrag_llama_3_1_8b_instant,role_categorization,self_consistency_without_rag,llama-3.1-8b-instant,0.3,700,False,job_description_only,100,58,42,0.95,0.58,0.5717,0.6975,0.5898,0.568,0.58,0.557,13,exp_43,5.0
