experiment_no,experiment_id,prompt_type,model_name,temperature,max_tokens,chunk_size,overlap,top_k,notebook_path,output_path
exp_16,exp_s_R01_summarization_zero_shot_chromadb_llama-3.1-8b-instant,zero_shot,llama-3.1-8b-instant,0,700,150,30,5,experiments/summarization/with_rag/exp_16_zero_shot_rag_llama-3-8b-instant.ipynb,outputs/experiments/summarization/with_rag/exp_16
exp_17,exp_s_R02_summarization_zero_shot_chromadb_llama-3.3-70b-versatile,zero_shot,llama-3.3-70b-versatile,0,700,150,30,5,experiments/summarization/with_rag/exp_17_zero_shot_rag_llama-3.3-70b-versatile.ipynb,outputs/experiments/summarization/with_rag/exp_17
exp_18,exp_s_R03_summarization_zero_shot_chromadb_openai-gpt-oss-120b,zero_shot,openai/gpt-oss-120b,0,700,150,30,5,experiments/summarization/with_rag/exp_18_zero_shot_rag_openai_gpt-oss-120b.ipynb,outputs/experiments/summarization/with_rag/exp_18
exp_19,exp_s_R04_summarization_few_shot_chromadb_llama-3.1-8b-instant,few_shot,llama-3.1-8b-instant,0,700,150,30,5,experiments/summarization/with_rag/exp_19_few_shot_rag_llama-3-8b-instant.ipynb,outputs/experiments/summarization/with_rag/exp_19
exp_20,exp_s_R05_summarization_few_shot_chromadb_llama-3.3-70b-versatile,few_shot,llama-3.3-70b-versatile,0,700,150,30,5,experiments/summarization/with_rag/exp_20_few_shot_rag_llama-3.3-70b-versatile.ipynb,outputs/experiments/summarization/with_rag/exp_20
exp_21,exp_s_R06_summarization_few_shot_chromadb_openai-gpt-oss-120b,few_shot,openai/gpt-oss-120b,0,700,150,30,5,experiments/summarization/with_rag/exp_21_few_shot_rag_openai_gpt-oss-120b.ipynb,outputs/experiments/summarization/with_rag/exp_21
exp_22,"exp_s_R07_summarization_chain_of_thought_chromadb_llama-3.1-8b-instant""",chain_of_thought,llama-3.1-8b-instant,0,700,150,30,5,experiments/summarization/with_rag/exp_22_chain_of_thought_rag_llama-3-8b-instant.ipynb,outputs/experiments/summarization/with_rag/exp_22
exp_23,exp_s_R08_summarization_chain_of_thought_chromadb_llama-3.3-70b-versatile,chain_of_thought,llama-3.3-70b-versatile,0,700,150,30,5,experiments/summarization/with_rag/exp_23_chain_of_thought_rag_llama-3.3-70b-versatile.ipynb,outputs/experiments/summarization/with_rag/exp_23
exp_24,exp_s_R09_summarization_chain_of_thought_chromadb_openai-gpt-oss-120,chain_of_thought,openai/gpt-oss-120b,0,700,150,30,5,experiments/summarization/with_rag/exp_24_chain_of_thought_rag_openai_gpt-oss-120b.ipynb,outputs/experiments/summarization/with_rag/exp_24
exp_25,exp_s_R10_summarization_style_based_chromadb_llama-3.1-8b-instant,style_based,llama-3.1-8b-instant,0,700,150,30,5,experiments/summarization/with_rag/exp_25_style_based_rag_llama-3-8b-instant.ipynb,outputs/experiments/summarization/with_rag/exp_25
exp_26,exp_s_R11_summarization_style_based_chromadb_llama-3.3-70b-versatile,style_based,llama-3.3-70b-versatile,0,700,150,30,5,experiments/summarization/with_rag/exp_26_style_based_rag_llama-3.3-70b-versatile.ipynb,outputs/experiments/summarization/with_rag/exp_26
exp_27,exp_s_R12_summarization_style_based_chromadb_openai-gpt-oss-120b,style_based,openai/gpt-oss-120b,0,700,150,30,5,experiments/summarization/with_rag/exp_27_style_based_rag_openai_gpt-oss-120b.ipynb,outputs/experiments/summarization/with_rag/exp_27
exp_28,exp_s_R13_summarization_self_consistency_chromadb_llama-3.1-8b-instant,self_consistency,llama-3.1-8b-instant,0,700,150,30,5,experiments/summarization/with_rag/exp_28_self_consistency_rag_llama-3-8b-instant.ipynb,outputs/experiments/summarization/with_rag/exp_28
exp_29,exp_s_R14_summarization_self_consistency_chromadb_llama-3.3-70b-versatile,self_consistency,llama-3.3-70b-versatile,0,700,150,30,5,experiments/summarization/with_rag/exp_29_self_consistency_rag_llama-3.3-70b-versatile.ipynb,outputs/experiments/summarization/with_rag/exp_29
exp_30,exp_s_R15_summarization_self_consistency_chromadb_openai_gpt-oss-120b,self_consistency,openai/gpt-oss-120b,0,700,150,30,5,experiments/summarization/with_rag/exp_30_self_consistency_rag_openai_gpt-oss-120b.ipynb,outputs/experiments/summarization/with_rag/exp_30
