experiment_id,prompt_type,model_name,temperature,max_tokens,num_samples_completed,rougeL_f1_mean,rougeL_f1_median,rougeL_f1_std,rougeL_f1_min,rougeL_f1_max,semantic_similarity_mean,semantic_similarity_median,semantic_similarity_std,semantic_similarity_min,semantic_similarity_max,irr_mean,irr_median,irr_std,irr_min,irr_max,hallucination_rate_mean,hallucination_rate_median,hallucination_rate_std,hallucination_rate_min,hallucination_rate_max,compression_ratio_mean,compression_ratio_median,compression_ratio_std,compression_ratio_min,compression_ratio_max,top_k_skill_coverage_mean,top_k_skill_coverage_median,top_k_skill_coverage_std,top_k_skill_coverage_min,top_k_skill_coverage_max,global_skill_overlap,hallucination_prevalence,hallucination_density,experiment_folder,rag_type,chunk_size_words,chunk_overlap_words,embedding_model,vector_database,retrieval_method,similarity_metric,top_k,grounding_score_mean,grounding_score_median,grounding_score_std,grounding_score_min,grounding_score_max,faithfulness_score_mean,faithfulness_score_median,faithfulness_score_std,faithfulness_score_min,faithfulness_score_max,retrieval_similarity_mean_mean,retrieval_similarity_mean_median,retrieval_similarity_mean_std,retrieval_similarity_mean_min,retrieval_similarity_mean_max,num_candidates,selection_consistency_score_mean,selection_consistency_score_median,selection_consistency_score_std,selection_consistency_score_min,selection_consistency_score_max,selection_completeness_score_mean,selection_completeness_score_median,selection_completeness_score_std,selection_completeness_score_min,selection_completeness_score_max,selection_final_score_mean,selection_final_score_median,selection_final_score_std,selection_final_score_min,selection_final_score_max,rougeL_f1_mean_norm,semantic_similarity_mean_norm,irr_mean_norm,top_k_skill_coverage_mean_norm,global_skill_overlap_norm,hallucination_rate_mean_norm,hallucination_prevalence_norm,hallucination_density_norm,compression_ratio_mean_norm,hallucination_rate_mean_score,hallucination_prevalence_score,hallucination_density_score,compression_ratio_mean_score,rougeL_f1_mean_score,semantic_similarity_mean_score,irr_mean_score,top_k_skill_coverage_mean_score,global_skill_overlap_score,benchmark_score,overall_rank
exp_s_R06_summarization_few_shot_chromadb_openai-gpt-oss-120b,few_shot,openai/gpt-oss-120b,0.0,700,100,0.4386,0.4219,0.1101,0.1733,0.7071,0.8237,0.8399,0.0797,0.4333,0.9547,0.4942,0.5,0.1693,0.0,0.9091,0.2603,0.2158,0.1622,0.0541,1.0,0.5214,0.4915,0.2014,0.0942,1.0959,0.506,0.6,0.2264,0.0,1.0,0.536,1.0,5.86,exp_s_R06_summarization_few_shot_chromadb_openai-gpt-oss-120b,RAG,150.0,30.0,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,dense_vector_retrieval,cosine,5.0,0.7259,0.7499,0.1195,0.4116,0.9531,0.7608,0.7787,0.1087,0.3622,0.9464,0.8168,0.8181,0.143,0.5401,1.0,,,,,,,,,,,,,,,,,0.6824212271973464,0.42292490118576964,1.0,1.0000000000000002,0.9999999999999998,0.0,0.0,0.1246498599439777,0.5539867109634551,1.0,1.0,0.8753501400560223,0.4460132890365449,0.6824212271973464,0.42292490118576964,1.0,1.0000000000000002,0.9999999999999998,0.7773962407183234,1
exp_s_R02_summarization_zero_shot_chromadb_llama-3.3-70b-versatile,zero_shot,llama-3.3-70b-versatile,0.0,700,100,0.4691,0.4667,0.0763,0.2843,0.7037,0.8529,0.8663,0.0676,0.5804,0.9607,0.4,0.3917,0.1853,0.0,0.8966,0.3225,0.2857,0.1852,0.0577,1.0,0.4881,0.4391,0.2232,0.1689,1.1571,0.418,0.4,0.2414,0.0,1.0,0.4269,1.0,6.85,exp_s_R02_summarization_zero_shot_chromadb_llama-3.3-70b-versatile,RAG,150.0,30.0,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,dense_vector_retrieval,cosine,5.0,0.7255,0.738,0.101,0.4181,0.9156,0.7744,0.7833,0.0894,0.4721,0.9454,0.8168,0.8181,0.143,0.5401,1.0,,,,,,,,,,,,,,,,,0.9353233830845773,1.0,0.5196328403875574,0.5510204081632655,0.4706453178068897,0.27955056179775273,0.0,0.2633053221288515,0.4848421926910298,0.7204494382022473,1.0,0.7366946778711485,0.5151578073089702,0.9353233830845773,1.0,0.5196328403875574,0.5510204081632655,0.4706453178068897,0.7391353060920318,2
exp_s_R14_summarization_self_consistency_chromadb_llama-3.3-70b-versatile,self_consistency,llama-3.3-70b-versatile,0.0,700,100,0.4769,0.4693,0.0747,0.3241,0.675,0.8509,0.8574,0.0712,0.528,0.9506,0.3887,0.3728,0.1683,0.0,0.8889,0.3445,0.3333,0.188,0.0588,1.0,0.523,0.4624,0.2585,0.1744,1.325,0.41,0.4,0.2298,0.0,1.0,0.42,1.0,7.44,exp_s_R14_summarization_self_consistency_chromadb_llama-3.3-70b-versatile,RAG,150.0,30.0,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,dense_vector_retrieval,cosine,5.0,0.7188,0.741,0.0966,0.4682,0.92,0.7643,0.7813,0.087,0.4983,0.9311,0.8168,0.8181,0.143,0.5401,1.0,3.0,0.9812,0.9894,0.0288,0.7549,1.0,0.9744,1.0,0.0424,0.84,1.0,0.8836,0.8896,0.0377,0.772,0.9646,0.9999999999999996,0.9604743083003946,0.46200917899031113,0.5102040816326532,0.43716642406598694,0.3784269662921347,0.0,0.34593837535014016,0.5573089700996678,0.6215730337078653,1.0,0.6540616246498598,0.44269102990033216,0.9999999999999996,0.9604743083003946,0.46200917899031113,0.5102040816326532,0.43716642406598694,0.7123219885475532,3
exp_s_R08_summarization_chain_of_thought_chromadb_llama-3.3-70b-versatile,chain_of_thought,llama-3.3-70b-versatile,0.0,700,100,0.4648,0.4582,0.0745,0.2911,0.6519,0.8454,0.8585,0.067,0.6052,0.9517,0.3935,0.3684,0.1753,0.1111,1.0,0.4037,0.3957,0.202,0.0545,0.8696,0.5822,0.4967,0.3668,0.1915,3.0439,0.416,0.4,0.2423,0.0,1.0,0.4113,1.0,9.92,exp_s_R08_summarization_chain_of_thought_chromadb_llama-3.3-70b-versatile,RAG,150.0,30.0,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,dense_vector_retrieval,cosine,5.0,0.7001,0.7167,0.1032,0.4128,0.9167,0.746,0.7664,0.0973,0.4826,0.907,0.8168,0.8181,0.143,0.5401,1.0,,,,,,,,,,,,,,,,,0.8996683250414592,0.8517786561264842,0.4864864864864864,0.5408163265306121,0.39495390587093615,0.6444943820224718,0.0,0.6932773109243697,0.680232558139535,0.3555056179775282,1.0,0.3067226890756303,0.319767441860465,0.8996683250414592,0.8517786561264842,0.4864864864864864,0.5408163265306121,0.39495390587093615,0.6441657763122501,4
exp_s_R11_summarization_style_based_chromadb_llama-3.3-70b-versatile,style_based,llama-3.3-70b-versatile,0.0,700,100,0.4724,0.4623,0.0723,0.3069,0.6805,0.8494,0.8628,0.0644,0.585,0.9602,0.3662,0.3557,0.1579,0.0,0.7619,0.4049,0.3868,0.1942,0.0588,1.0,0.4514,0.3859,0.2312,0.1561,1.325,0.388,0.4,0.2306,0.0,1.0,0.4008,1.0,8.96,exp_s_R11_summarization_style_based_chromadb_llama-3.3-70b-versatile,RAG,150.0,30.0,sentence-transformers/all-MiniLM-L6-v2,ChromaDB,dense_vector_retrieval,cosine,5.0,0.6998,0.7221,0.098,0.4514,0.9092,0.7446,0.7535,0.0846,0.5341,0.9127,0.8168,0.8181,0.143,0.5401,1.0,,,,,,,,,,,,,,,,,0.9626865671641789,0.9308300395256914,0.347271800101989,0.3979591836734695,0.3440077632217369,0.649887640449438,0.0,0.5588235294117649,0.40863787375415295,0.35011235955056197,1.0,0.44117647058823506,0.591362126245847,0.9626865671641789,0.9308300395256914,0.347271800101989,0.3979591836734695,0.3440077632217369,0.6313619918279426,5
exp_s_12_style_based_without_rag_openai_gpt-oss-120b,style_based,openai/gpt-oss-120b,0.0,700,100,0.4572,0.4496,0.0901,0.2723,0.7243,0.8385,0.8523,0.0641,0.6396,0.9597,0.3834,0.3644,0.1617,0.0,0.8125,0.3174,0.2705,0.1743,0.0714,1.0,0.467,0.413,0.2135,0.1274,1.1918,0.406,0.4,0.2282,0.0,1.0,0.4116,1.0,6.01,exp_s_12_style_based_without_rag_openai_gpt-oss-120b,NON_RAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8366500829187395,0.7154150197628475,0.43498215196328416,0.48979591836734726,0.3964095099466278,0.25662921348314605,0.0,0.14565826330532217,0.441029900332226,0.743370786516854,1.0,0.8543417366946778,0.558970099667774,0.8366500829187395,0.7154150197628475,0.43498215196328416,0.48979591836734726,0.3964095099466278,0.6202687340869201,6
exp_s_15_self_consistency_without_rag_openai_gpt_oss_120b,self_consistency,openai/gpt-oss-120b,0.3,700,100,0.4474,0.4277,0.0823,0.2752,0.7265,0.8505,0.866,0.0683,0.5974,0.9616,0.3647,0.3514,0.1651,0.0,0.7812,0.3483,0.3198,0.1656,0.0741,1.0,0.4499,0.4026,0.2014,0.1378,1.274,0.38,0.4,0.2387,0.0,1.0,0.3884,1.0,6.51,exp_s_15_self_consistency_without_rag_openai_gpt_oss_120b,NON_RAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7553897180762852,0.9525691699604764,0.3396226415094341,0.3571428571428572,0.2838427947598252,0.39550561797752803,0.0,0.21568627450980393,0.40552325581395354,0.604494382022472,1.0,0.7843137254901961,0.5944767441860465,0.7553897180762852,0.9525691699604764,0.3396226415094341,0.3571428571428572,0.2838427947598252,0.6047441382042245,7
exp_s_11_style_based_without_rag_llama-3.3-70b-versatile,style_based,llama-3.3-70b-versatile,0.0,700,100,0.4546,0.4457,0.0686,0.3285,0.6667,0.8389,0.8504,0.0655,0.6299,0.942,0.3813,0.365,0.1746,0.0,0.8889,0.3544,0.3603,0.1693,0.0508,1.0,0.4765,0.4296,0.2271,0.1552,1.2329,0.406,0.4,0.2335,0.0,1.0,0.3983,1.0,7.63,exp_s_11_style_based_without_rag_llama-3.3-70b-versatile,NON_RAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8150912106135983,0.7233201581027657,0.42427332993370714,0.48979591836734726,0.3318777292576416,0.4229213483146066,0.0,0.37254901960784315,0.4607558139534884,0.5770786516853934,1.0,0.6274509803921569,0.5392441860465116,0.8150912106135983,0.7233201581027657,0.42427332993370714,0.48979591836734726,0.3318777292576416,0.5938224540329833,8
exp_s_07_chain_of_thought_without_rag_llama3_1_8b_instant,chain_of_thought,llama-3.1-8b-instant,0.0,700,100,0.4646,0.462,0.0814,0.2807,0.6824,0.838,0.8491,0.0742,0.5507,0.9611,0.3962,0.381,0.1687,0.0,0.8889,0.4497,0.4451,0.1788,0.0857,1.0,0.5733,0.498,0.2774,0.1744,1.475,0.412,0.4,0.2324,0.0,1.0,0.4145,1.0,11.91,exp_s_07_chain_of_thought_without_rag_llama3_1_8b_instant,NON_RAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8980099502487562,0.7055335968379453,0.5002549719530851,0.5204081632653061,0.4104803493449778,0.8512359550561794,0.0,0.9719887955182074,0.6617524916943522,0.14876404494382056,1.0,0.028011204481792618,0.33824750830564776,0.8980099502487562,0.7055335968379453,0.5002549719530851,0.5204081632653061,0.4104803493449778,0.5901891316219062,9
exp_s_08_chain_of_thought_without_rag_llama-3.3-70b-versatile,chain_of_thought,llama-3.3-70b-versatile,0.0,700,100,0.4487,0.4468,0.0839,0.2193,0.6781,0.8438,0.8586,0.0701,0.5489,0.9436,0.387,0.3669,0.1765,0.0,0.8966,0.4261,0.4216,0.1894,0.0727,1.0,0.6904,0.5746,0.4424,0.2376,3.4747,0.396,0.4,0.2378,0.0,1.0,0.418,1.0,10.44,exp_s_08_chain_of_thought_without_rag_llama-3.3-70b-versatile,NON_RAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7661691542288556,0.820158102766797,0.4533401325854156,0.438775510204082,0.4274623968947109,0.7451685393258425,0.0,0.7661064425770308,0.9049003322259137,0.2548314606741575,1.0,0.23389355742296924,0.0950996677740863,0.7661691542288556,0.820158102766797,0.4533401325854156,0.438775510204082,0.4274623968947109,0.5791643223865155,10
