Position,Long Description,Company Name,Exp Years,Primary Keyword,English Level,Published,Long Description_lang,id,index_level_0,Reference_Summary
Java Developer,The job holder will . Design develop and maintain back-end of large web-based applications with Java. Participate in the technical analysis documentation implementation and integration. Test and manage early life support of core software tools and assets produced in the context of software development projects. Attend the Scrum events daily planning retrospective refinement . Attend meetings with Product Owner and/or Client to discuss technical impedimen The job holder should have . experience with Java Spring boot. experience in Kafka. experience with Mongo DB and Microservices. fluent English Benefits . working remotely. 2 days off per week guaranteed . Attractive compensation package . Building successful cutting-edge technology products that are making global impact in service industry. Compensation fixed in US Dollars. Loyalty bonus 90 of fixed compensation twice a year. Proficient and fun-to-work-with colleagues. Long-term employment with 24 working days vacation. Apple gear,Quickstarter,3y,Java,upper,2021-12-01T00:00:00+02:00,en,67aefec1-1efc-5c5b-b2db-c0ef5b74f519,77261,"Role Overview:
The Java Developer will design, develop, and maintain the back-end of large web-based applications using Java, Spring Boot, Kafka,

Key Responsibilities:
The job holder will design, develop, and maintain the back-end of large web-based applications using Java. They will participate in technical analysis, documentation, implementation, and integration, as well as test and manage early life support for core software tools and assets. The role requires attending daily Scrum events, including planning, retrospectives, and refinements. Additionally, the developer will attend meetings with Product Owners and clients to discuss technical impediments.

Required Skills:
- Experience with Java and Java Spring boot
- Experience in Kafka
- Experience with Mongo DB and Microservices
- Design, development, and maintenance of back-end large web-based applications
- Technical analysis, documentation, implementation, and integration
- Testing and managing early life support of core software tools and assets
- Participation in Scrum events (daily planning, retrospective, refinement)
- Ability to discuss technical impediments with Product Owners and/or Clients
- Fluent English

Tools and Technologies:
Java, Spring boot, Kafka, Mongo DB, Microservices

Experience Level:
Not explicitly stated."
Integration specialist / DevOps,Project Description Join our Development Center and become a member of our open minded progressive and professional team. We are currently seeking an Integration Specialist / DevOps. You will be working with a global team that has experience of high quality delivery in a demanding environment. You will be expected to get up to speed with the domain and the standards of delivery quickly and ultimately be a significant contributor to the shared capability of the group. Responsibilities . plan evaluate migrate implement configure test and roll out third party applications into our client s environment software infrastructure with relevant IT controls. monitor usage and performance and troubleshoot server and software issues. assist our migration and re-platform applications to Cloud. plan maintain and communicate regular maintenance activities with key business and internal stakeholders. Work closely and effectively with other IT and operations teams across the organisation. Perform unit and integration tests of software components for integration into larger subsystems in accordance with the project s adopted standards. Applying standards methods techniques templates as defined by SDLC code repository handling code inspection penetration-avoidance etc. Mandatory Skills Description . 3+ years of hands-on technical skills in software management. Strong infrastructure knowledge and experience. Familiar with Azure ARM and Terraform templates is a plus . Gitlab CI 1 year experience. Docker containers troubleshooting. fluent in bash scripting. PostgreSQL basics. Knowledge of Java technology from environment setup perspective Maven is a plus . fluent English Nice-to-Have Skills . Kubernetes is a plus,Luxoft,3y,DevOps,upper,2022-04-01T00:00:00+03:00,en,2ec599d6-1509-5c34-9aec-54ac2e04b2d5,72279,"Role Overview:
The Integration Specialist / DevOps will join a global team in the Development Center to plan, evaluate, migrate, implement, configure,

Key Responsibilities:
You will plan, evaluate, migrate, implement, configure, test, and roll out third-party applications into the client's software infrastructure while adhering to relevant IT controls. Responsibilities include monitoring usage and performance, troubleshooting server and software issues, and assisting with the migration and re-platforming of applications to the Cloud. You will plan and communicate regular maintenance activities with stakeholders and work closely with other IT and operations teams across the organization. Additionally, you will perform unit and integration

Required Skills:
- 3+ years of hands-on technical skills in software management
- Strong infrastructure knowledge and experience
- Familiar

Tools and Technologies:
- Cloud
- Azure ARM
- Terraform
- Gitlab CI
- Docker
- Bash
- PostgreSQL
- Java
- Maven
- Kubernetes

Experience Level:
3+ years of hands-on technical skills in software management
Gitlab CI 1 year experience"
Head of Marketing,TurnKey Labs is the most trusted offshore software development firm for innovative software startups and the venture capitalists that back them is looking for a dynamic marketing wizard to expand our marketing efforts and further fuel our customer acquisition. TurnKey has grown organically due to a great reputation and strong referral stream among customers. But now we are looking to accelerate our growth by hiring a creative and thoughtful marketing leader who can formalize our marketing processes and drive activities that generate additional customer leads. Reporting to TurnKey s CEO you will be leading all marketing activities of the company as we build a compelling brand for both of our core targets prospective customers and investors in the U.S. market and amazing software development talent locally in Ukraine. Why you should care Work with a fast growing Silicon Valley-based company. Build the foundation for TurnKey s marketing efforts and be a key decision-maker. Collaborate directly with TurnKey s founders two serial Silicon Valley entrepreneurs. Enjoy the freedom to be imaginative experiment widely and stop following the status quo. Propel your career in a work hard play hard culture where everyone s opinion counts. Key Responsibilities Create the marketing strategy Conduct target market analysis industry trends research and maintain ongoing competitive audit. In collaboration with senior management define marketing strategy target market segments key offerings value proposition and more. Refine corporate brand identity and positioning. Revise and improve current messaging. Implement and optimize the strategy Develop actionable plan for brand promotion and lead generation channels campaigns budgets and ROI targets . Coordinate with senior management on objectives leads and ROI on marketing activities. Collaborate with the recruitment team regarding marketing support for recruitment objectives. Develop and maintain marketing collateral website sales presentations case studies and more. Track marketing KPIs and optimizing activities to improve outcomes executive reporting. Create and execute an integrated digital strategy -. Maintain company presence on social media platforms LinkedIn Facebook Instagram DOU and create exciting and insightful content that breaks through the noise. -. Develop and execute digital ad strategies PPC SEO to attract website traffic and convert traffic to leads. -. Create content and content-driven lead generation campaigns. Experience 5+ years in marketing including 3+ years working directly at a software development outsourcing or offshoring firm. Strong understanding of key marketing concepts such as market segmentation value proposition differentiation buyer journey branding messaging etc. Experience in building marketing strategy and action plans for a software development outsourcer or offshore firm. Strong experience in digital marketing and content-driven lead generation. Proven experience in lead generation with measurable KPIs and ROI. Advanced level in written English. Advanced spoken English. Personality Type That Will Do Well In This Job You prize imagination and creativity. You like to think differently about problems and how to solve them. You are results-oriented and focused on winning. You love to be part of a close collaborative team. You enjoy having autonomy and independence. You are comfortable with uncertainty and rapidly changing priorities. Additional Benefits of the Job Strong professional and personal growth that will help accelerate your career progression. Tap into broader Silicon Valley ecosystem. Work closely with the founding team and learn from top American executives. Access to English courses or other training as needed/desired . Unlimited PTO for any reason including sick days no specified limits flexible work schedule Personal laptop MacBook Trainings certifications conferences Private health dental insurance Business trips to headquarters in Menlo Park Accounting and legal support required to file taxes. Remote/coworking work.,TurnKey Labs,5y,Marketing,upper,2021-10-01T00:00:00+03:00,en,edba8bfd-8a91-5b37-9f72-bde92397e804,69706,"Role Overview:
Reporting to the CEO, the Head of Marketing will lead all marketing activities to formalize processes, generate customer leads, and build

Key Responsibilities:
The Head of Marketing will create and implement a comprehensive marketing strategy by conducting market research, defining value propositions, and refining brand identity and messaging. You will develop actionable plans for brand promotion and lead generation while collaborating with senior management and the recruitment team to achieve business objectives. Additionally, you will manage marketing collateral, track KPIs

Required Skills:
- 5+ years in marketing, including 3+ years working directly at a software development outsourcing or offshoring firm.

Tools and Technologies:
LinkedIn, Facebook, Instagram, DOU, PPC, SEO.

    Let's double-check for any others.

Experience Level:
5+ years in marketing including 3+ years working directly at a software development outsourcing or offshoring firm. Strong understanding of key marketing concepts"
Project Manager,Do you have a superpower to provide a dialogue between the client and the team Can you predict events course and keep the control before the deadline You are brave and always ready to take a challenge Then your calling is to work in Redentu. We are looking for a super manager who is not afraid of documentation meetings and various development issues. RESPONSIBILITIES . Lead and coordinate projects teams UX/UI design development QA . Working with Trello Jira etc. Agile Delivery / Project Management experience and strong commercial understanding ideally within IT Company . Ensure that all projects are delivered on time on budget on scope with required quality . Create and execute the project plans . Manage and assign individual tasks and responsibilities . Measure project performance . Report project status . Direct communication with the client . Be ready to work with more than 1 project . Manage client s expectations and stakeholders. SKILLS . Deep understanding and practical experience with Agile approaches Scrum Kanban Waterfall . Ability to effectively prioritize and execute tasks in a high-pressure environment . Understanding of software development lifecycle . Communication skills . Result-oriented mindset . Problem-solving skills . High English level. WE OFFER Possibility to be part of the creative environment and make your input to it Professional and career growth Flexible work schedule Interesting projects Professional trainings and certifications Competitive salary Friendly team spirit 21-days of paid vacation Paid sick time.,Redentu,no_exp,Project Manager,intermediate,2021-01-01T00:00:00+02:00,en,077025bf-2c32-5855-9211-68b09228a635,119495,"Role Overview:
Redentu is seeking a Project Manager to lead and coordinate project teams, manage client expectations, and ensure projects are delivered on time, on

Key Responsibilities:
The Project Manager leads and coordinates project teams across UX/UI design, development, and QA while managing multiple projects simultaneously. You will

Required Skills:
- Deep understanding and practical experience with Agile approaches (Scrum, Kanban) and Waterfall
- Agile Delivery and Project Management experience
-

Tools and Technologies:
Trello, Jira, Agile, Scrum, Kanban, Waterfall

Experience Level:
Not explicitly stated."
Sales manager,BilSoft team is looking for a Sales Manager for full-time office work or remote type of work. We invite an experienced flexible and proactive person who has the desire and ambitions to become an important team player in a company as a whole in the near future. Required skills . Fluent English . 1+ years of successful sales experience in digital agency/startup/it company . 2+ years overall sales experience. A proactive and positive business attitude . Good to great knowledge of different sales techniques and channels . Understanding of the development process life-cycle . Experience in communication with businesses abroad USA Responsibilities . Cover all sales cycle stages . Preparation and provision of commercial offers for potential clients . Communicate with decision-makers and close the deals . Generate ideas on how to improve sales activity.,BilSoft,2y,Sales,fluent,2021-01-01T00:00:00+02:00,en,adb62bd6-998e-58ec-a32c-3b99fe814b04,130283,"Role Overview:
BilSoft is seeking an experienced, flexible, and proactive Sales Manager for full-time office or remote work to manage all stages of the sales cycle and communicate with decision-makers.

Key Responsibilities:
The Sales Manager is responsible for covering all stages of the sales cycle, including the preparation and provision of commercial offers for potential clients. The role involves communicating directly with decision-makers to close deals. Additionally, the candidate will generate ideas to improve the company's overall sales activity.

Required Skills:
• Fluent English
• 1+ years of successful sales experience in digital agency/startup/it company
• 2

Tools and Technologies:
There are no specific tools or technologies explicitly mentioned in the provided job description.

Experience Level:
1+ years of successful sales experience in digital agency/startup/it company
2+ years overall sales experience"
PHP Developer,Required skills . Experience with PHP version 7+ and frameworks Laravel yii2 at least 3 years. Understanding of OOP principles S.O.L.I.D. development patterns and application architecture. Experience with GIT. Experience with MySQL MongoDB. Experience with Memcached Redis. Experience with HTML / CSS. Ability to read someone else s code and understand what they read . English at the level of reading documentation. Willingness to learn new technologies Will be a plus . Experience with ElasticSearch. Experience with AMQP services. Experience with OS GNU / Linux. Experience with Docker Responcibilities . Development of the backend component of the company s current projects. Participation in the development of new products. Code optimization / refactoring. Interaction with the QA BA and Ops team to optimize internal processes implement technologies and approaches in development We offer . Cozy and comfortable office in the historical center of the city with a trendy design an excellent window view a sports area conference rooms etc. Friendly fun and supportive team. Many interesting projects and tasks. Competitive and timely salary. 5-day work week. 20 business days of paid vacation. Reimbursement of sports and medical expenses,Eurogroup Technologies,2y,PHP,,2022-02-01T00:00:00+02:00,en,b2315b02-ac50-551c-93b5-a88d6ee230e6,115191,"Role Overview:
The PHP Developer will develop backend components for current projects, participate in new product development, optimize and refactor code, and interact with the QA, BA, and Ops teams.

Key Responsibilities:
Develop the backend components of the company's current projects and participate in the development of new products. Perform code optimization and refactoring tasks. Interact with the QA, BA, and Ops teams to optimize internal processes and implement technologies and approaches in development.

Required Skills:
- At least 3 years of experience with PHP version 7+ and frameworks Laravel and yii2.
- Understanding of OOP principles

Tools and Technologies:
PHP 7+, Laravel, yii2, GIT, MySQL, MongoDB, Memcached, Redis, HTML, CSS, ElasticSearch, AMQP services, OS GNU / Linux, Docker.

Experience Level:
at least 3 years"
"MERN (Node, React) JS Full-stack developer",Node JS Full-stack Web developer Hi we are looking for full-stack Node JS developer. What we have . High technical expertise in company. Projects on latest technologies 6-12 months. Technical support and consultance. Possible to work with customer directly or with manager to reduce communication. Possible to switch project. Learning new highly appreciated employees could participate projects to learn new technologies and areas mobile development dev ops etc. Low bureaucracy few level of management possible to solve issues quickly and directly with responsible person. Fast and effective skill up either in technical area or in management. For experienced candidates there are options for non-project based development positions mentoring pre-sale etc. Work . We are in Kharkiv 23 August. Partially remote work acceptable Backend . Typescript would be a big plus. Understanding async programming. Understanding Node JS module system. Experience in Node JS backend development. Understanding of web application development in Node JS. Express JS Koa or Next.JS. Node ORM TypeORM Sequelize . Understanding HTTP protocol. Authentication and JWT. Relational database knowledge SQL. Non-sql database Mongo DB . Docker would be plus. Cloud experience AWS GCP Azure would be a great plus Frontend . Typescript Javasript is also acceptable . One of frontend framework React preferrable Angular Vue. Experience with component library Material UI Ant Design etc. State management Redux MobX NgRx etc . Understanding of asynch programming General skills . Git. Jira English. Reading/writing. Speaking would be a great plus,Alpha-Dev,1y,Node.js,intermediate,2023-08-01T00:00:00+03:00,en,881421a8-07a9-59a0-9765-6c48609ae879,93798,"Role Overview:
We are seeking a full-stack Node JS developer to work on projects using latest technologies in Kharkiv, with the option for partially remote

Key Responsibilities:
The full-stack developer will work on projects using latest technologies for 6-12 months, handling both backend development with Node JS and

Required Skills:
- Experience in Node JS backend development
- Understanding of web application development in Node JS
- Typescript (big plus)
-

Tools and Technologies:
Node JS, React, Typescript, Express JS, Koa, Next.JS, Node ORM, TypeORM,

Experience Level:
Not explicitly stated."
Golang Engineer,Team Flow Performance Team 1 Project Manager 2 Middle SDE Project is a consumer-focused Flow blockchain product made for fun and games and supports digital collectibles. It builds products tailored to the user and ensures that items of value to you are decentralized. It s a startup that uses the power of play to deliver blockchain-based experiences and digital collectibles that are made for you and ready for the real world. The goal of this project is to extend customer engineering teams performance security and help with management. Akvelon team will do PMs will manage mixed customers teams customer SDEs + ours Flow Team. Performance and optimization optimizing transactions on the chain not the resources used e.g. memory . Tech stack Go Flow Cadence Ethereum Google Container OS Communication Time overlap is required the more the better. morning overlap with the Pacific Timezone is important. Working conditions and benefits Paid vacation 15 working days per year 20 working days after 2 years of employment 5 sick days per year without sickness list Official state holidays 11 days considered as public holidays Professional growth while attending challenging projects and the possibility to switch your role master new technologies and skills with company support Flexible working schedule 8 hours per day 40 hours per week. It additionally depends on the project operational hours. Work on weekends or overtimes is only upon request of the customer is paid in addition Personal Career Development Plan CDP Akvelon IT Assistant employee support program Discount Care Heals Legal compensation Paid external training conferences and professional certification that meets company s business goals Internal workshops seminars Corporate library Paper/E-books and internal English classes,Akvelon,3y,Golang,intermediate,2022-06-01T00:00:00+03:00,en,b5fc4457-65a2-51c9-92fe-b9be2fc4888c,68381,"Role Overview:
As a Golang Engineer on the Flow Performance Team 1, you will work on a consumer-focused Flow blockchain product for games and

Key Responsibilities:
The Golang Engineer will work on the Flow Performance Team to extend customer engineering teams' performance and security for a consumer-focused blockchain product. Responsibilities include performance and optimization tasks, specifically focusing on optimizing transactions on the chain rather than resource usage. The role involves working with a tech stack including Go, Flow, Cadence, Ethereum, and Google Container OS while maintaining a morning time overlap with the Pacific Timezone.

Required Skills:
- Go
- Flow
- Cadence
- Ethereum
- Google Container OS
- Performance and optimization (optimizing transactions

Tools and Technologies:
Go, Flow, Cadence, Ethereum, Google Container OS

Experience Level:
Middle SDE"
People Partner,Необходимые навыки 1+ years of experience in HR Understanding of general HR policies and procedures Excellent communication and interpersonal skills Energetic and very well-organized person Good negotiation presentation and interpersonal skills Upper-intermediate level of English Предлагаем Competitive compensation depending on your experience Professional development opportunities in the administrative area Study and practice of English courses and communication with colleagues and clients from different countries Yoga classes Compensation package paid vacation sick leaves Flexible working hours Comfortable office near Teatral na metro station Обязанности Organizing the processes in all HR areas adaptation performance review probation period control exit interview Communication with internal managers and the customer Implement and support new initiatives related to HRM Manage social benefits Onboarding of team members meeting on the first day and meeting the team and adaptation Conducting one2one interviews with team members Organization of internal team building and holidays Monitoring the situation in the team identifying conflict situations advice and assistance in solving Conducting surveys questionnaires Creating reports Focus on opportunities rather than obstacles,Synergetica,2y,HR,upper,2020-02-01T00:00:00+02:00,en,bcbb5ce1-9ab8-5297-9472-791398c09e55,114626,"Role Overview:
The People Partner is responsible for organizing HR processes, managing onboarding and performance reviews, conducting one2one interviews, and implementing HRM initiatives while communicating

Key Responsibilities:
The People Partner organizes core HR processes including onboarding, adaptation, performance reviews, probation period control, and exit interviews. This role involves communicating with internal managers and customers while implementing new HRM initiatives and managing social benefits. Responsibilities include conducting one-to-one interviews, organizing team-building events, and performing surveys to monitor team dynamics and resolve conflict situations. Additionally, the position requires creating reports and focusing on opportunities to support the team.

Required Skills:
1+ years of experience in HR
Understanding of general HR policies and procedures
Excellent communication and interpersonal skills
Energetic and very well-organized person
Good negotiation and presentation skills
Upper-intermediate level of English
Focus on opportunities rather than obstacles

Tools and Technologies:
There are no specific tools or technologies explicitly mentioned in the provided job description.

Experience Level:
1+ years of experience in HR"
Creative Designer,Job Description The Creative Designer is a key position in Turnitin s Global Creative Services team. This person reports directly to the Creative Director but will also work with marketing teams and colleagues within the business. The position is responsible for taking briefs and developing on brand creative concepts that can be executed as integrated marketing campaigns across all media. This person partners closely with Designers Copywriters internally and externally employed to develop the most effective ways to visually position products services and solutions. Work with the Creative Director and wider Global Marketing team to deliver new ideas and projects for both new and existing campaigns. Responsible for developing creative concepts and design that work across all media including digital banners web social media print and video. Ensure that all design work follows corporate guidelines. Design of icons infographics ebooks and photo retouching. Create edit export assets for web banners product images blog content social posts. Digital animation for websites digital adverts social and videos. Participate in brainstorming content ideas as part of a wider creative team. Confidently present ideas to the customer and explain the methodology behind. Review project feasibility with an eye on balancing innovation with constraints on time and resources. Manage projects and ensure we hit deadlines and SLA targets. Has precise attention to detail with pixel-perfect accuracy. Qualifications Essential. Strong portfolio showing quality and diversity in the design techniques and styles you use. Fluent written and spoken English. 3+ years successful professional design experience preferably at a digital agency or in-house team. In-depth knowledge of Adobe Creative Suite. In particular Illustrator InDesign Photoshop and experience of After Effects and Animate. Good knowledge of Google slides and docs. Strong appreciation of typography colour and the effective use of space. Excellent communication skills and ability to collaborate in teams or independently. Excellent time management and project management. Desirable. Basic knowledge of CSS and HTML and an interest in UX and prototyping is desirable. Knowledge of CMS and able to publish updates to content. Experience of Figma. Experience of international multi-language projects. Experience in the creation of motion graphics videos is desirable but not essential to the role. Degree in digital design graphic design graphic communications or equivalent experience. Additional Information . A smart fun and casual environment where you can learn from and teach others. A great mission. you will be involved in building a distinct and recognizable global brand identity in the education market. We offer . Professional growth opportunity. Generous holiday allowance. Free English classes. Young and friendly team. Close-knit family atmosphere. Flexible schedule. Comfortable and modern office.,Turnitin,3y,Design,fluent,2021-01-01T00:00:00+02:00,en,16fcc7e5-ba83-5125-92eb-3e9cc3185261,45293,"Role Overview:
The Creative Designer is a key position in Turnitin’s Global Creative Services team responsible for developing on-brand creative concepts and

Key Responsibilities:
The Creative Designer develops on-brand creative concepts and designs for integrated marketing campaigns across all media, including digital banners, web, social media, print,

Required Skills:
* 3+ years of successful professional design experience, preferably at a digital agency or in-house team.
* Strong portfolio showing

Tools and Technologies:
Adobe Creative Suite (Illustrator, InDesign, Photoshop, After Effects, Animate), Google slides, Google docs, CSS, HTML, CMS, Figma.

Experience Level:
3+ years successful professional design experience preferably at a digital agency or in-house team."
