experiment_id,task_name,prompt_type,model_name,temperature,max_tokens,rag_used,input_type,num_samples_completed,num_correct,num_incorrect,valid_label_rate,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,num_taxonomy_labels,experiment_folder,num_self_consistency_runs,rag_type,embedding_model,chunk_size_words,chunk_overlap_words,top_k,avg_retrieved_chunks,avg_top_similarity,accuracy_norm,precision_macro_norm,recall_macro_norm,f1_macro_norm,precision_weighted_norm,recall_weighted_norm,f1_weighted_norm,valid_label_rate_norm,num_incorrect_norm,accuracy_score,precision_macro_score,recall_macro_score,f1_macro_score,precision_weighted_score,recall_weighted_score,f1_weighted_score,valid_label_rate_score,num_incorrect_score,benchmark_score,overall_rank,rank_within_rag_type
exp_60_rc_self_consistency_rag_openai_gpt-oss-120b,role_categorization,self_consistency,openai/gpt-oss-120b,0.3,700,True,retrieved_job_description_chunks,100,78,22,1.0,0.78,0.7999,0.8396,0.7979,0.7744,0.78,0.7559,13,exp_60,,RAG,all-MiniLM-L6-v2,150.0,30.0,5.0,2.27,0.955,1.0,0.9999999999999996,0.9961259079903146,1.0000000000000002,0.8406121687196713,1.0,1.0,1.0,0.0,1.0,0.9999999999999996,0.9961259079903146,1.0000000000000002,0.8406121687196713,1.0,1.0,1.0,1.0,0.9994188861985471,1,1
exp_56_rc_style_based_rag_llama-3.3-70b-versatile,role_categorization,style_based,llama-3.3-70b-versatile,0.0,700,True,retrieved_job_description_chunks,100,78,22,1.0,0.78,0.7574,0.8404,0.7849,0.6996,0.78,0.7298,13,exp_56,,RAG,all-MiniLM-L6-v2,150.0,30.0,5.0,2.27,0.955,1.0,0.828490718321226,0.9999999999999996,0.9534550662370214,0.5614035087719298,1.0,0.8951386098834875,1.0,0.0,1.0,0.828490718321226,0.9999999999999996,0.9534550662370214,0.5614035087719298,1.0,0.8951386098834875,1.0,1.0,0.9498239886076391,2,2
exp_48_rc_zero_shot_rag_openai_gpt-oss-120b,role_categorization,zero_shot,openai/gpt-oss-120b,0.0,700,True,retrieved_job_description_chunks,100,77,23,1.0,0.77,0.7898,0.8319,0.7721,0.8171,0.77,0.7506,13,exp_48,,RAG,all-MiniLM-L6-v2,150.0,30.0,5.0,2.27,0.955,0.958333333333333,0.9592413236481026,0.9588377723970942,0.9076262083780879,1.0,0.958333333333333,0.9787063077541185,1.0,0.04166666666666663,0.958333333333333,0.9592413236481026,0.9588377723970942,0.9076262083780879,1.0,0.958333333333333,0.9787063077541185,1.0,0.9583333333333334,0.9474536910289512,3,3
exp_57_rc_style_based_rag_openai_gpt-oss-120b,role_categorization,style_based,openai/gpt-oss-120b,0.0,700,True,retrieved_job_description_chunks,100,76,24,1.0,0.76,0.7783,0.8201,0.781,0.7592,0.76,0.7452,13,exp_57,,RAG,all-MiniLM-L6-v2,150.0,30.0,5.0,2.27,0.955,0.9166666666666665,0.9128329297820819,0.9016949152542373,0.9394915861081274,0.7838745800671889,0.9166666666666665,0.9570108477300119,1.0,0.08333333333333337,0.9166666666666665,0.9128329297820819,0.9016949152542373,0.9394915861081274,0.7838745800671889,0.9166666666666665,0.9570108477300119,1.0,0.9166666666666666,0.928894404027554,4,4
exp_51_rc_few_shot_rag_openai_gpt-oss-120b,role_categorization,few_shot,openai/gpt-oss-120b,0.0,700,True,retrieved_job_description_chunks,100,76,24,1.0,0.76,0.7697,0.8241,0.7686,0.7488,0.76,0.7241,13,exp_51,,RAG,all-MiniLM-L6-v2,150.0,30.0,5.0,2.27,0.955,0.9166666666666665,0.8781275221953186,0.9210653753026636,0.8950948800572858,0.7450541246733855,0.9166666666666665,0.8722378465247087,1.0,0.08333333333333337,0.9166666666666665,0.8781275221953186,0.9210653753026636,0.8950948800572858,0.7450541246733855,0.9166666666666665,0.8722378465247087,1.0,0.9166666666666666,0.9047978499610205,5,5
exp_47_rc_zero_shot_rag_llama-3.3-70b-versatile,role_categorization,zero_shot,llama-3.3-70b-versatile,0.0,700,True,retrieved_job_description_chunks,100,75,25,0.99,0.75,0.7582,0.8219,0.7577,0.7649,0.75,0.7254,13,exp_47,,RAG,all-MiniLM-L6-v2,150.0,30.0,5.0,2.27,0.955,0.8749999999999996,0.8317191283292975,0.9104116222760288,0.8560687432867884,0.8051511758118699,0.8749999999999996,0.8774608276416234,0.8571428571428577,0.12499999999999989,0.8749999999999996,0.8317191283292975,0.9104116222760288,0.8560687432867884,0.8051511758118699,0.8749999999999996,0.8774608276416234,0.8571428571428577,0.8750000000000001,0.8674934611981406,6,6
exp_59_rc_self_consistency_rag_llama-3.3-70b-versatile,role_categorization,self_consistency,llama-3.3-70b-versatile,0.3,700,True,retrieved_job_description_chunks,100,76,24,1.0,0.76,0.697,0.8278,0.7485,0.6684,0.76,0.7064,13,exp_59,,RAG,all-MiniLM-L6-v2,150.0,30.0,5.0,2.27,0.955,0.9166666666666665,0.5847457627118637,0.9389830508474577,0.8231292517006803,0.4449421425905187,0.9166666666666665,0.801124949779028,1.0,0.08333333333333337,0.9166666666666665,0.5847457627118637,0.9389830508474577,0.8231292517006803,0.4449421425905187,0.9166666666666665,0.801124949779028,1.0,0.9166666666666666,0.834777259188672,7,7
exp_55_rc_style_based_rag_llama-3.1-8b-instant,role_categorization,style_based,llama-3.1-8b-instant,0.0,700,True,retrieved_job_description_chunks,100,75,25,1.0,0.75,0.7255,0.8165,0.75,0.6765,0.75,0.6976,13,exp_55,,RAG,all-MiniLM-L6-v2,150.0,30.0,5.0,2.27,0.955,0.8749999999999996,0.6997578692493942,0.8842615012106534,0.8284998209810237,0.4751773049645389,0.8749999999999996,0.7657693852952994,1.0,0.12499999999999989,0.8749999999999996,0.6997578692493942,0.8842615012106534,0.8284998209810237,0.4751773049645389,0.8749999999999996,0.7657693852952994,1.0,0.8750000000000001,0.8314797903928441,8,8
exp_53_rc_chain_of_thought_rag_llama-3.3-70b-versatile,role_categorization,chain_of_thought,llama-3.3-70b-versatile,0.0,700,True,retrieved_job_description_chunks,100,74,26,0.99,0.74,0.7381,0.8124,0.7448,0.7289,0.74,0.7032,13,exp_53,,RAG,all-MiniLM-L6-v2,150.0,30.0,5.0,2.27,0.955,0.833333333333333,0.7506053268765127,0.8644067796610169,0.8098818474758323,0.6707726763717803,0.833333333333333,0.7882683808758539,0.8571428571428577,0.16666666666666663,0.833333333333333,0.7506053268765127,0.8644067796610169,0.8098818474758323,0.6707726763717803,0.833333333333333,0.7882683808758539,0.8571428571428577,0.8333333333333334,0.8152336845014406,9,9
exp_54_rc_chain_of_thought_rag_openai_gpt-oss-120b,role_categorization,chain_of_thought,openai/gpt-oss-120b,0.0,700,True,retrieved_job_description_chunks,100,73,27,1.0,0.73,0.7273,0.8085,0.7444,0.7073,0.73,0.6991,13,exp_54,,RAG,all-MiniLM-L6-v2,150.0,30.0,5.0,2.27,0.955,0.7916666666666665,0.7070217917675539,0.8455205811138011,0.8084496956677405,0.5901455767077266,0.7916666666666665,0.7717959019686624,1.0,0.20833333333333337,0.7916666666666665,0.7070217917675539,0.8455205811138011,0.8084496956677405,0.5901455767077266,0.7916666666666665,0.7717959019686624,1.0,0.7916666666666666,0.8005125214960583,10,10
exp_52_rc_chain_of_thought_rag_llama-3.1-8b-instant,role_categorization,chain_of_thought,llama-3.1-8b-instant,0.0,700,True,retrieved_job_description_chunks,100,73,27,0.98,0.73,0.7621,0.7927,0.7447,0.7299,0.73,0.6948,13,exp_52,,RAG,all-MiniLM-L6-v2,150.0,30.0,5.0,2.27,0.955,0.7916666666666665,0.8474576271186436,0.7690072639225178,0.8095238095238095,0.6745054124673384,0.7916666666666665,0.7545198875050221,0.7142857142857135,0.20833333333333337,0.7916666666666665,0.8474576271186436,0.7690072639225178,0.8095238095238095,0.6745054124673384,0.7916666666666665,0.7545198875050221,0.7142857142857135,0.7916666666666666,0.7944098176447716,11,11
exp_46_rc_zero_shot_rag_llama_3_1_8b_instant,role_categorization,zero_shot,llama-3.1-8b-instant,0.0,700,True,retrieved_job_description_chunks,100,73,27,0.99,0.73,0.7179,0.7996,0.7401,0.6614,0.73,0.6829,13,exp_46,,RAG,all-MiniLM-L6-v2,150.0,30.0,5.0,2.27,0.955,0.7916666666666665,0.6690879741727196,0.8024213075060529,0.7930540637307553,0.4188129899216122,0.7916666666666665,0.706709521896344,0.8571428571428577,0.20833333333333337,0.7916666666666665,0.6690879741727196,0.8024213075060529,0.7930540637307553,0.4188129899216122,0.7916666666666665,0.706709521896344,0.8571428571428577,0.7916666666666666,0.7700873730844864,13,12
exp_58_rc_self_consistency_rag_llama-3.1-8b-instant,role_categorization,self_consistency,llama-3.1-8b-instant,0.3,700,True,retrieved_job_description_chunks,100,73,27,0.97,0.73,0.73,0.778,0.7342,0.6746,0.73,0.6846,13,exp_58,,RAG,all-MiniLM-L6-v2,150.0,30.0,5.0,2.27,0.955,0.7916666666666665,0.7179176755447938,0.6978208232445522,0.7719298245614035,0.4680851063829783,0.7916666666666665,0.713539574126155,0.5714285714285712,0.20833333333333337,0.7916666666666665,0.7179176755447938,0.6978208232445522,0.7719298245614035,0.4680851063829783,0.7916666666666665,0.713539574126155,0.5714285714285712,0.7916666666666666,0.7417817748375336,14,13
exp_50_rc_few_shot_rag_llama-3.3-70b-versatile,role_categorization,few_shot,llama-3.3-70b-versatile,0.0,700,True,retrieved_job_description_chunks,100,72,28,1.0,0.72,0.6887,0.7948,0.7194,0.6606,0.72,0.679,13,exp_50,,RAG,all-MiniLM-L6-v2,150.0,30.0,5.0,2.27,0.955,0.7499999999999996,0.5512510088781268,0.7791767554479416,0.7189402076620122,0.4158268010451658,0.7499999999999996,0.6910405785456009,1.0,0.2499999999999999,0.7499999999999996,0.5512510088781268,0.7791767554479416,0.7189402076620122,0.4158268010451658,0.7499999999999996,0.6910405785456009,1.0,0.7500000000000001,0.7218502848020739,16,14
