experiment_no,experiment_id,prompt_type,model_name,temperature,max_tokens,notebook_path,output_path
exp_46,exp_46_rc_zero_shot_rag_llama-3-8b-instant,zero_shot,llama-3.1-8b-instant,0,700,experiments/role_categorization/with_rag/exp_46_rc_zero_shot_rag_llama-3-8b-instant.ipynb,outputs/experiments/role_categorization/with_rag/exp_46
exp_47,exp_47_rc_zero_shot_rag_llama-3.3-70b-versatile,zero_shot,llama-3.3-70b-versatile,0,700,experiments/role_categorization/with_rag/exp_47_rc_zero_shot_rag_llama-3.3-70b-versatile.ipynb,outputs/experiments/role_categorization/with_rag/exp_47
exp_48,exp_48_rc_zero_shot_rag_openai_gpt-oss-120b,zero_shot,openai/gpt-oss-120b,0,700,experiments/role_categorization/with_rag/exp_48_rc_zero_shot_rag_openai_gpt-oss-120b.ipynb,outputs/experiments/role_categorization/with_rag/exp_48
exp_49,exp_49_rc_few_shot_rag_llama-3.1-8b-instant,few_shot,llama-3.1-8b-instant,0,700,experiments/role_categorization/with_rag/exp_49_rc_few_shot_rag_llama-3.1-8b-instant.ipynb,outputs/experiments/role_categorization/with_rag/exp_49
exp_50,exp_50_rc_few_shot_rag_llama-3.3-70b-versatile,few_shot,llama-3.3-70b-versatile,0,700,experiments/role_categorization/with_rag/exp_50_rc_few_shot_rag_llama-3.3-70b-versatile.ipynb,outputs/experiments/role_categorization/with_rag/exp_50
exp_51,exp_51_rc_few_shot_rag_openai_gpt-oss-120b,few_shot,openai/gpt-oss-120b,0,700,experiments/role_categorization/with_rag/exp_51_rc_few_shot_rag_openai_gpt-oss-120b.ipynb,outputs/experiments/role_categorization/with_rag/exp_51
exp_52,exp_52_rc_chain_of_thought_rag_llama-3.1-8b-instant,chain_of_thought,llama-3.1-8b-instant,0,700,experiments/role_categorization/with_rag/exp_52_rc_chain_of_thought_rag_llama-3.1-8b-instant.ipynb,outputs/experiments/role_categorization/with_rag/exp_52
exp_53,exp_53_rc_chain_of_thought_rag_llama-3.3-70b-versatile,chain_of_thought,llama-3.3-70b-versatile,0,700,experiments/role_categorization/with_rag/exp_53_rc_chain_of_thought_rag_llama-3.3-70b-versatile.ipynb,outputs/experiments/role_categorization/with_rag/exp_53
exp_54,exp_54_rc_chain_of_thought_rag_openai_gpt-oss-120b,chain_of_thought,openai/gpt-oss-120b,0,700,experiments/role_categorization/with_rag/exp_54_rc_chain_of_thought_rag_openai_gpt-oss-120b.ipynb,outputs/experiments/role_categorization/with_rag/exp_54
exp_55,exp_55_rc_style_based_rag_llama-3.1-8b-instant,style_based,llama-3.1-8b-instant,0,700,experiments/role_categorization/with_rag/exp_55_rc_style_based_rag_llama-3.1-8b-instant.ipynb,outputs/experiments/role_categorization/with_rag/exp_55
exp_56,exp_56_rc_style_based_rag_llama-3.3-70b-versatile,style_based,llama-3.3-70b-versatile,0,700,experiments/role_categorization/with_rag/exp_56_rc_style_based_rag_llama-3.3-70b-versatile.ipynb,outputs/experiments/role_categorization/with_rag/exp_56
exp_57,exp_57_rc_style_based_rag_openai_gpt-oss-120b,style_based,openai/gpt-oss-120b,0,700,experiments/role_categorization/with_rag/exp_57_rc_style_based_rag_openai_gpt-oss-120b.ipynb,outputs/experiments/role_categorization/with_rag/exp_57
exp_58,exp_58_rc_self_consistency_rag_llama-3.1-8b-instant,self_consistency,llama-3.1-8b-instant,0.3,700,experiments/role_categorization/with_rag/exp_58_rc_self_consistency_rag_llama-3.1-8b-instant.ipynb,outputs/experiments/role_categorization/with_rag/exp_58
exp_59,exp_59_rc_self_consistency_rag_llama-3.3-70b-versatile,self_consistency,llama-3.3-70b-versatile,0.3,700,experiments/role_categorization/with_rag/exp_59_rc_self_consistency_rag_llama-3.3-70b-versatile.ipynb,outputs/experiments/role_categorization/with_rag/exp_59
exp_60,exp_60_rc_self_consistency_rag_openai_gpt-oss-120b,self_consistency,openai/gpt-oss-120b,0.3,700,experiments/role_categorization/with_rag/exp_60_rc_self_consistency_rag_openai_gpt-oss-120b.ipynb,outputs/experiments/role_categorization/with_rag/exp_60
