,Backend Developer,Frontend Developer,Full Stack Developer,DevOps Engineer,Data / AI Role,QA Engineer,Mobile Developer,Project / Program Manager,Product Manager,Marketing / Sales,Business / Operations Role,Design / Creative Role,Other
Backend Developer,12,0,2,0,1,1,0,2,0,0,0,0,1
Frontend Developer,1,6,1,0,0,0,0,0,0,0,0,0,0
Full Stack Developer,1,1,2,0,0,0,0,1,0,0,1,0,0
DevOps Engineer,0,0,0,6,0,0,0,0,0,0,0,0,2
Data / AI Role,0,0,0,0,3,0,0,0,0,0,0,0,0
QA Engineer,0,0,0,0,0,7,0,0,0,0,0,0,0
Mobile Developer,0,0,0,0,0,0,2,0,1,0,0,0,1
Project / Program Manager,0,0,0,0,0,0,0,3,0,0,0,0,0
Product Manager,0,0,0,0,0,0,0,0,1,0,0,0,0
Marketing / Sales,1,0,0,0,0,0,0,0,0,5,2,1,1
Business / Operations Role,0,0,0,0,0,0,0,3,0,0,5,1,0
Design / Creative Role,0,0,0,0,0,0,0,0,0,3,0,6,0
Other,3,0,0,1,1,2,0,1,0,0,2,1,2
