experiment_id,task_name,prompt_type,model_name,temperature,max_tokens,rag_used,input_type,num_samples_completed,num_correct,num_incorrect,valid_label_rate,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,num_taxonomy_labels,experiment_folder,num_self_consistency_runs,rag_type,embedding_model,chunk_size_words,chunk_overlap_words,top_k,avg_retrieved_chunks,avg_top_similarity
exp_31_rc_zero_shot_nonrag_llama_3_1_8b_instant,role_categorization,zero_shot,llama-3.1-8b-instant,0.0,700,False,job_description_only,100,60,40,0.98,0.6,0.5896,0.6688,0.5869,0.5672,0.6,0.557,13,exp_31,,NON_RAG,,,,,,
exp_32_rc_zero_shot_nonrag_llama-3.3-70b-versatile,role_categorization,zero_shot,llama-3.3-70b-versatile,0.0,700,False,job_description_only,100,66,34,1.0,0.66,0.6804,0.7693,0.6875,0.6739,0.66,0.6373,13,exp_32,,NON_RAG,,,,,,
exp_33_rc_zero_shot_nonrag_openai_gpt-oss-120b,role_categorization,zero_shot,openai/gpt-oss-120b,0.0,700,False,job_description_only,100,70,30,1.0,0.7,0.7418,0.772,0.7331,0.7267,0.7,0.698,13,exp_33,,NON_RAG,,,,,,
exp_34_rc_few_shot_nonrag_llama_3_1_8b_instant,role_categorization,few_shot,llama-3.1-8b-instant,0.0,700,False,job_description_only,100,60,40,0.93,0.6,0.6122,0.6801,0.6099,0.6135,0.6,0.5893,13,exp_34,,NON_RAG,,,,,,
exp_35_rc_few_shot_nonrag_llama-3.3-70b-versatile,role_categorization,few_shot,llama-3.3-70b-versatile,0.0,700,False,job_description_only,100,66,34,1.0,0.66,0.6621,0.7663,0.6824,0.6254,0.66,0.6222,13,exp_35,,NON_RAG,,,,,,
exp_36_rc_few_shot_nonrag_openai_gpt-oss-120b,role_categorization,few_shot,openai/gpt-oss-120b,0.0,700,False,job_description_only,100,70,30,1.0,0.7,0.7131,0.7873,0.7146,0.7246,0.7,0.6787,13,exp_36,,NON_RAG,,,,,,
exp_37_rc_cot_nonrag_llama_3_1_8b_instant,role_categorization,chain_of_thought,llama-3.1-8b-instant,0.0,700,False,job_description_only,100,60,40,1.0,0.6,0.5912,0.6958,0.5965,0.5831,0.6,0.5704,13,exp_37,,NON_RAG,,,,,,
exp_38_rc_cot_nonrag_llama-3.3-70b-versatile,role_categorization,chain_of_thought,llama-3.3-70b-versatile,0.0,700,False,job_description_only,100,66,34,1.0,0.66,0.6492,0.7683,0.6809,0.6096,0.66,0.6179,13,exp_38,,NON_RAG,,,,,,
exp_39_rc_cot_nonrag_openai_gpt-oss-120b,role_categorization,chain_of_thought,openai/gpt-oss-120b,0.0,700,False,job_description_only,100,70,30,1.0,0.7,0.7462,0.781,0.7083,0.7672,0.7,0.6681,13,exp_39,,NON_RAG,,,,,,
exp_40_rc_style_based_nonrag_llama_3_1_8b_instant,role_categorization,style_based,llama-3.1-8b-instant,0.0,700,False,job_description_only,100,54,46,1.0,0.54,0.5521,0.6339,0.5186,0.5492,0.54,0.507,13,exp_40,,NON_RAG,,,,,,
